store_number,store_name,address,city,zip_code,store_location,county_number,county
4709,Walgreens #12108 / Ames,2719 GRAND AVE,AMES,50010,POINT (-93.620635 42.048974),85,Story
4157,Fareway Stores #993 / North Liberty,615 WESTWOOD DR   P.O Box 96,NORTH LIBERTY,52317,POINT (-91.608385 41.741097),52,Johnson
3592,Wal-Mart 0886 / Fort Dodge,3036 1ST AVE SOUTH,FORT DODGE,50501,POINT (-94.153456 42.505334),42,Hardin
4648,Prime Mart / Broadway Waterloo,508 BROADWAY ST,WATERLOO,50703,POINT (-92.345104 42.510573),07,Black Hawk
3909,D And S Grocery,104 SE  A ST,MELCHER-DALLAS,50163,POINT (-93.24163400000002 41.222471),63,Marion
3901,Target Store T-0878 / Fort Dodge,2910  1 AVE S,FORT DODGE,50501,POINT (-94.157366 42.505335),94,Webster
2613,Hy-Vee Food Store #1 / Council Bluff,2323 W BROADWAY,COUNCIL BLUFFS,51501,POINT (-95.879662 41.261925),78,Pottawattamie
2562,Hy-Vee Food Store / Fort Dodge,115 SOUTH 29TH ST,FORT DODGE,50501,POINT (-94.15824700000002 42.504742),94,Webster
2806,Osco #881 / Clinton,1307 N SECOND,CLINTON,52732,POINT (-90.184797 41.858932),23,Clinton
4836,Kum & Go #52 / Iowa City,25 W BURLINGTON ST,IOWA CITY,52240,POINT (-91.537252 41.657904),52,Johnson
2536,HY-VEE / PLEASANT HILL,4815 MAPLE DRIVE,PLEASANT HILL,50317,POINT (-93.519187 41.598109),77,Polk
2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 OAKLAND ROAD NE,CEDAR RAPIDS,52402,POINT (-91.658105 42.010971),57,Linn
2550,Hy-Vee Food Store / Osceola,510 WEST MCLANE,OSCEOLA,50213,POINT (-93.77321 41.030569),20,Clarke
3926,Liquor Downtown / Iowa City,315 S GILBERT ST,IOWA CITY,52240,POINT (-91.530181 41.657654),52,Johnson
3879,Target Store T-1800 / Sioux City,5775 SUNNYBROOK DR,SIOUX CITY,51106,POINT (-96.332446 42.448939),97,Woodbury
4253,Fareway Stores #683 / Winterset,719 W HWY 92,WINTERSET,50273,POINT (-94.022239 41.344866),61,Madison
3942,Twin Town Liquor,104 HIGHWAY 30 WEST,TOLEDO,52342,POINT (-92.579446 41.985985),86,Tama
3652,Discount Liquors Of Ida Grove,604 W 2ND,IDA GROVE,51445,POINT (-94.876368 42.063517),47,Ida
3678,"Smoke Shop, The",1918 SE 14TH ST,DES MOINES,50320,POINT (-93.597011 41.570844),77,Polk
2572,Hy-Vee Food Store / Cedar Falls,6301 UNIVERSITY,CEDAR FALLS,50613,POINT (-92.435236 42.512789),07,Black Hawk
4349,Southside Food Mart,1101 ARMY POST RD,DES MOINES,50315,POINT (-93.628783 41.526511),77,Polk
3766,Kolby's Liquor Store,419 W MILWAUKEE,NEW HAMPTON,50659,POINT (-92.32302900000002 43.066752),19,Chickasaw
3705,Liquor Locker,507 1ST AVE #100,ROCK RAPIDS,51246,,60,Lyon
2578,Hy-Vee / Charles City,901 KELLY ST,CHARLES CITY,50616,POINT (-92.67556000000002 43.066993),34,Floyd
4561,Kroegers Liquor Co LLC,3539 LAFAYETTE RD,EVANSDALE,50707,POINT (-92.289505 42.477712),07,Black Hawk
4371,Kum & Go #50 / West Des Moines,745 S 51ST ST,WEST DES MOINES,50265,POINT (-93.77275 41.55871),77,Polk
4004,Wal-Mart 4256 / Ames,534 S DUFF AVE,AMES,50010,POINT (-93.610343 42.017115),85,Story
2539,Hy-Vee Food Store / iowa Falls,HIGHWAY 65 SOUTH,IOWA FALLS,50126,,42,Hardin
2523,Hy-Vee Food Store / Centerville,414 N 18TH ST,CENTERVILLE,52544,POINT (-92.86795 40.735639),04,Appanoose
2200,Sac Liquor Store,619 E MAIN ST,SAC CITY,50583,POINT (-94.974011 42.421341),81,Sac
4318,Fareway Stores #841 / Red Oak,811 BROADWAY,RED OAK,51566,POINT (-95.321174 41.663944),69,Montgomery
4482,Indy 66 West #929 / Indianola,"2001, WEST 2ND AVE",INDIANOLA,50125,POINT (-93.58762800000001 41.356153),91,Warren
4666,Super Stop II / Altoona,2635 ADVENTURELAND DR,ALTOONA,50009,POINT (-93.494642 41.65854),77,Polk
4509,A J'S LIQUOR II,2515 CHAMBERLAIN,AMES,50010,POINT (-93.650838 42.021461),85,Story
4189,Fareway Stores #594 / Manchester,109 EAST MARION ST,MANCHESTER,52057,POINT (-91.457225 42.48217),28,Delaware
2606,Hy-Vee Wine and Spirits / Humboldt,1011  13TH ST NORTH,HUMBOLDT,50548,POINT (-94.227116 42.733221),46,Humboldt
4205,Fareway Stores #467 / Marshalltown,102 WEST ANSON ST,MARSHALLTOWN,50158,POINT (-92.914409 42.038157000000005),64,Marshall
2959,Dahl's / Merle Hay,4343 MERLE HAY ROAD,DES MOINES,50310,POINT (-93.697647 41.63740800000001),77,Polk
4674,Kum & Go #227 / Ames,2108 ISSAC NEWTON DR,AMES,50010,POINT (-93.585891 42.009586),85,Story
3888,Wal-Mart 0647 / Grinnell,415 INDUSTRIAL AVE,GRINNELL,50112,POINT (-92.730259 41.720919),79,Poweshiek
3656,Target Store T-1767 / Ankeny,2135 SE DELAWARE AVE,ANKENY,50021,POINT (-93.581201 41.708563),77,Polk
2545,Hy-Vee Drugstore / Iowa City,310 N 1ST ST,IOWA CITY,52245,POINT (-91.528105 42.207428),52,Johnson
4433,Kum & Go #24  Pleasant Hill,5970 MORNING STAR CT,PLEASANT HILL,50317,POINT (-93.492204 41.597596),77,Polk
4620,Nodaway Valley Market,304 4th ST,FONTANELLE,50846,POINT (-94.562813 41.289069),01,Adair
3583,Mac's Liquor And Videos,220 EAST JEFFERSON,CORYDON,50060,POINT (-93.315977 40.757158),93,Wayne
2515,Hy-Vee Food Store #1 / Mason City,2400 4TH ST SW,MASON CITY,50401,POINT (-93.235588 43.148451),17,Cerro Gordo
4015,Wal-Mart 0749 / Ames,3015 GRAND AVE,AMES,50010,POINT (-93.62068300000001 42.05242),85,Story
2614,Hy-Vee #3 Food and Drugstore,1823 E KIMBERLY RD,DAVENPORT,52807,POINT (-90.548919 41.55678100000001),82,Scott
4856,Brothers Market / Lisbon,930 COMMERCIAL ST,LISBON,52253,POINT (-91.401062 41.918663),57,Linn
2666,Hy-Vee #2 / Ankeny,2510 SW STATE ST,ANKENY,50023,POINT (-93.621824 41.705188),77,Polk
4001,Wal-Mart 1787 / Carroll,2014 KITTY HAWK AVE,CARROLL,51401,POINT (-94.893501 42.081312),14,Carroll
4507,Casey's General Store #2902 / Spence,411 W 18TH,SPENCER,51301,POINT (-95.150966 43.155628),21,Clay
3873,Target Store T-1113 / Coralville,1441 CORAL RIDGE AVE,CORALVILLE,52241,POINT (-91.608399 41.691276),52,Johnson
2537,Hy-Vee Drugstore / Fort Dodge,215 S 25TH ST,FORT DODGE,50501,POINT (-94.163096 42.503345),94,Webster
4204,Fareway Stores #025 / Clinton,1350 11TH ST NW,CLINTON,52733,POINT (-90.211315 41.860978),23,Clinton
2553,Hy-Vee Food Store / Creston,600 SHELDON,CRESTON,50801,POINT (-94.372552 41.051462),88,Union
2228,Rodgers Spirits and More,53 GREEN ST,WINTERSET,50273,POINT (-94.013374 41.336405),61,Madison
4273,Smokin' Joe's #4 Tobacco and Liquor,2800 E UNIVERSITY AVE,DES MOINES,50317,POINT (-93.562106 41.600564),77,Polk
4795,Walgreens #00359 / Des Moines,2545 E EUCLID AVE,DES MOINES,50317,POINT (-93.568668 41.627702000000006),77,Polk
3932,Main Street Spirits / Mapleton,311 MAIN ST,MAPLETON,51034,POINT (-95.79375 42.165915),67,Monona
2649,Hy-Vee #3 / Dubuque,400 LOCUST ST,DUBUQUE,52001,POINT (-90.666497 42.49721900000001),31,Dubuque
4143,Bucky's,603  E HWY 24,LAWLER,52154,POINT (-92.14835 43.06721),19,Chickasaw
2645,Hy-Vee Drugstore / Muscatine,510 E 6TH ST,MUSCATINE,52761,POINT (-91.044008 41.427202),70,Muscatine
2459,Reinhart Foods,200 STATE PO BOX 98,GUTHRIE CENTER,50115,,39,Guthrie
2604,Hy-Vee Wine and Spirits / Lemars,1201 12TH AVE SW,LEMARS,51031,POINT (-96.18335000000002 42.778257),75,Plymouth
3894,Smokin' Joe's #6 Tobacco and Liquor,1404  1ST AVE NE,CEDAR RAPIDS,52402,POINT (-91.6537 41.987286),57,Linn
4360,Kum & Go #333 / Newton,405 1ST AVE E,NEWTON,50208,POINT (-93.049443 41.699578),50,Jasper
4165,I-35 Spirits / Ankeny,113 SE DELAWARE AVE STE 101,ANKENY,50023,POINT (-93.581093 41.731416),77,Polk
2556,Hy-Vee Wine and Spirits / Esthervill,2608 E. CENTRAL AVENUE,ESTHERVILLE,51334,,32,Emmet
3628,Wal-Mart 1528 / Cedar Rapids,2645 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402,POINT (-91.680734 42.034748),57,Linn
4137,Fareway Stores #989 / Waukee,200 SE LAUREL ST,WAUKEE,50263,POINT (-93.86786 41.614033),25,Dallas
2951,Dahl's / Hickman,8700 HICKMAN,CLIVE,50322,,77,Polk
4418,KUM & GO #46 / WALNUT,1709 ANTIQUE CITY DR,WALNUT,51577,POINT (-95.222087 41.494138),78,Pottawattamie
3451,Barnes Foodland,622 10TH ST,DEWITT,52742,POINT (-90.540132 41.825139),23,Clinton
2643,Hy-Vee Wine and Spirits / Waterloo,2126 KIMBALL AVE,WATERLOO,50701,,07,Black Hawk
3645,Wal-Mart 1764 / Windsor Heights,1001  73RD ST,WINDSOR HEIGHTS,50311,POINT (-93.716991 41.594787),77,Polk
4136,Fareway Stores #983 / Grimes,351 GATEWAY DR,GRIMES,50111,,77,Polk
4404,KUM & GO #292 / ANKENY,1825 N ANKENY BLVD,ANKENY,50021,,77,Polk
2503,Hy-Vee Drugstore / Ankeny,849 SOUTH ANKENY BLVD.,ANKENY,50021,,77,Polk
4322,Hometown Foods / Baxter,103 N MAIN ST,BAXTER,50028,POINT (-93.151465 41.826715),50,Jasper
2552,Hy-Vee Food Store #3 / Cedar Rapids,20 WILSON AVENUE WEST,CEDAR RAPIDS,52404,POINT (-91.658577 41.955859),57,Linn
4051,Fareway Stores #639 / Maquoketa,110 WESTGATE DR,MAQUOKETA,52060,POINT (-90.680623 42.067391),49,Jackson
2535,Hy-Vee Food Store #1 / WDM,1700 VALLEY WEST DR,WEST DES MOINES,50265,,77,Polk
4200,Fareway Stores #019 / Sioux City,4016 INDIAN HILLS DR,SIOUX CITY,51108,POINT (-96.373252 42.538578),97,Woodbury
2624,Hy-Vee #2 / Dubuque,2395 NW ARTERIAL RD,DUBUQUE,52002,POINT (-90.741064 42.516633),31,Dubuque
4202,Fareway Stores #829 / Sioux City,4267 SERGEANT RD,SIOUX CITY,51106,POINT (-96.354307 42.449933),97,Woodbury
4043,Gasland #102 / Burlington,1703 MT PLEASANT ST,BURLINGTON,52601,POINT (-91.121931 40.819885),29,Des Moines
3704,Celtics Beverage Company,1122 BROADWAY,EMMETSBURG,50536,POINT (-94.678807 43.10937),74,Palo Alto
2641,Hy-Vee Drugstore / Council Bluffs,757 W BROADWAY,COUNCIL BLUFFS,51501,POINT (-95.855054 41.261673),78,Pottawattamie
4805,Liquor Tobacco & Grocery / Fort Dodg,902 1ST AVE N,FORT DODGE,50501,POINT (-94.186138 42.506332),94,Webster
2500,Hy-Vee Food Store #1 / Ames,3800 W LINCOLN WAY,AMES,50010,,85,Story
3587,Save A Lot  #482,2122 MAIN ST,KEOKUK,52632,POINT (-91.39688800000002 40.408821),56,Lee
4192,Fareway Stores #044 / Bettendorf,3800 BELMONT RD,BETTENDORF,52722,POINT (-90.480368 41.556273),82,Scott
3762,Wine and Spirits Gallery,7690 HICKMAN RD,WINDSOR HEIGHTS,50322,,77,Polk
4180,Smokin' Joe's #10 Tobacco and Liquor,480 7TH AVE,MARION,52302,POINT (-91.605094 42.033366),57,Linn
3660,Wal-Mart 2935 / Knoxville,814 W BELL AVE,KNOXVILLE,50138,POINT (-93.106728 41.306176),63,Marion
2353,Cresco Liquor Store,708 2ND AVE SE,CRESCO,52136,POINT (-92.106529 43.371131),45,Howard
2592,Hy-Vee Drugstore / Marshalltown,1712 S CENTER  ST,MARSHALLTOWN,50158,POINT (-92.91250500000001 42.027531),64,Marshall
3934,Wal-Mart 1509 / Maquoketa,103 E CARLISLE,MAQUOKETA,52060,POINT (-90.66292 42.04869),49,Jackson
